auto_id;id_csv;id;devEui;temperature;humidity;pressure;pm1_0;pm2_5;pm10;so2;o3;co;no2;noise_level;createdDateTime;pm2_5_aqi;pm10_aqi;so2_aqi;o3_aqi;co_aqi;no2_aqi;aqi;primary_pollutant;customer_tz_createdDateTime
709013;0;1275268;4417935b00b83a53;27.94;62;945;16;12;22;10.9;0.01;0;0;63;2023-08-12 4:59:55;50;20;500;0;0;0;500;so2;2023-08-11 21:59:55
709014;0;1275261;4417935af40cae86;27.07;66;986;2;3;3;0;0.03;0;0;62;2023-08-12 4:55:35;13;3;0;0;0;0;13;pm2_5;2023-08-11 21:55:35
709015;0;1275263;4417935af5e4505d;27.59;62;980;4;6;6;0;0.01;0;0;60;2023-08-12 4:56:07;25;6;0;0;0;0;25;pm2_5;2023-08-11 21:56:07
709016;0;1275262;4417935af3d82f50;27.09;68;985;4;5;6;1.6;0.04;0;0;63;2023-08-12 4:55:56;21;6;500;0;0;0;500;so2;2023-08-11 21:55:56
709017;0;1275284;4417935af3905f62;26.05;77;941;6;7;7;0;0.01;0;0;66;2023-08-12 5:07:05;29;6;0;0;0;0;29;pm2_5;2023-08-11 22:07:05
709018;0;1275285;44179354c7c83489;24.68;80;934;3;4;4;0;0.01;0;0;57;2023-08-12 5:08:39;17;4;0;0;0;0;17;pm2_5;2023-08-11 22:08:39
709019;0;1275286;44179354c798205a;27.34;70;951;3;3;4;0;0.01;0;0;64;2023-08-12 5:08:48;13;4;0;0;0;0;13;pm2_5;2023-08-11 22:08:48
709020;0;1275278;4417935aff00388d;27.02;67;941;8;8;11;0;0.01;0;0;55;2023-08-12 5:05:11;33;10;0;0;0;0;33;pm2_5;2023-08-11 22:05:11
709021;0;1275287;44179354c7782e90;25.96;75;943;3;4;4;0;0.01;0;0;63;2023-08-12 5:09:51;17;4;0;0;0;0;17;pm2_5;2023-08-11 22:09:51
709022;0;1275281;4417935b01081c59;25.07;81;937;3;4;4;0;0.01;66;0;56;2023-08-12 5:05:26;17;4;0;0;500;0;500;co;2023-08-11 22:05:26
709023;0;1275280;4417935b00b83a53;27.89;63;945;10;8;14;11.2;0.01;0;0;68;2023-08-12 5:05:23;33;13;500;0;0;0;500;so2;2023-08-11 22:05:23
709024;0;1275282;4417935af40cae86;26.96;66;986;1;2;2;0;0.01;0;0;68;2023-08-12 5:05:37;8;2;0;0;0;0;8;pm2_5;2023-08-11 22:05:37
709025;0;1275283;4417935af5e4505d;27.23;65;980;5;5;7;0;0.01;0;0;60;2023-08-12 5:06:28;21;6;0;0;0;0;21;pm2_5;2023-08-11 22:06:28
709026;0;1275288;4417935af3d82f50;27.12;67;984;3;4;4;1.1;0.01;0;0;65;2023-08-12 5:10:00;17;4;500;0;0;0;500;so2;2023-08-11 22:10:00
709027;0;1275304;4417935af3905f62;26.14;76;943;4;6;6;0;0.01;0;0;65;2023-08-12 5:16:35;25;6;0;0;0;0;25;pm2_5;2023-08-11 22:16:35
709028;0;1275305;44179354c7c83489;24.66;80;934;4;4;6;0;0.01;0;0;56;2023-08-12 5:18:11;17;6;0;0;0;0;17;pm2_5;2023-08-11 22:18:11
709029;0;1275306;44179354c798205a;27.28;71;951;3;3;4;0;0.01;0;0;65;2023-08-12 5:18:33;13;4;0;0;0;0;13;pm2_5;2023-08-11 22:18:33
709030;0;1275301;4417935aff00388d;27.02;66;941;6;6;9;0;0.01;0;0;62;2023-08-12 5:15:51;25;8;0;0;0;0;25;pm2_5;2023-08-11 22:15:51
709031;0;1275307;44179354c7782e90;26.03;71;944;1;2;2;0;0.01;0;0;57;2023-08-12 5:19:32;8;2;0;0;0;0;8;pm2_5;2023-08-11 22:19:32
709032;0;1275303;4417935b01081c59;25.02;82;938;3;5;5;0;0.01;66;0;56;2023-08-12 5:15:56;21;5;0;0;500;0;500;co;2023-08-11 22:15:56
709033;0;1275299;4417935b00b83a53;27.5;65;943;3;3;4;12;0.01;0;0;68;2023-08-12 5:15:37;13;4;500;0;0;0;500;so2;2023-08-11 22:15:37
709034;0;1275300;4417935af40cae86;27.09;66;986;2;3;3;0;0.02;0;0;56;2023-08-12 5:15:37;13;3;0;0;0;0;13;pm2_5;2023-08-11 22:15:37
709035;0;1275302;4417935af5e4505d;26.87;67;980;5;5;7;0;0.01;0;0;65;2023-08-12 5:15:52;21;6;0;0;0;0;21;pm2_5;2023-08-11 22:15:52
709036;0;1275298;4417935af3d82f50;27.09;67;985;8;8;11;1;0.02;0;0;58;2023-08-12 5:14:59;33;10;498;0;0;0;498;so2;2023-08-11 22:14:59
709037;0;1275324;4417935af3905f62;26.21;75;943;6;7;8;0;0.01;0;0;66;2023-08-12 5:26:47;29;7;0;0;0;0;29;pm2_5;2023-08-11 22:26:47
709038;0;1275325;44179354c7c83489;24.64;80;934;2;3;3;0;0.01;0;0;54;2023-08-12 5:28:34;13;3;0;0;0;0;13;pm2_5;2023-08-11 22:28:34
709039;0;1275327;44179354c798205a;27.19;71;950;4;3;6;0;0.01;0;0;65;2023-08-12 5:29:08;13;6;0;0;0;0;13;pm2_5;2023-08-11 22:29:08
709040;0;1275319;4417935aff00388d;27.03;66;942;8;7;11;0;0.01;0;0;55;2023-08-12 5:25:24;29;10;0;0;0;0;29;pm2_5;2023-08-11 22:25:24
709041;0;1275326;44179354c7782e90;26.28;70;945;1;2;2;0;0.01;0;0;58;2023-08-12 5:29:03;8;2;0;0;0;0;8;pm2_5;2023-08-11 22:29:03
709042;0;1275322;4417935b01081c59;25;83;938;7;8;10;0;0.01;66;0;56;2023-08-12 5:26:39;33;9;0;0;500;0;500;co;2023-08-11 22:26:39
709043;0;1275320;4417935b00b83a53;27.43;67;943;13;9;6;13;0.01;0;0;67;2023-08-12 5:25:31;38;6;500;0;0;0;500;so2;2023-08-11 22:25:31
709044;0;1275321;4417935af40cae86;27;65;986;1;2;4;0;0.01;0;0;60;2023-08-12 5:25:50;8;4;0;0;0;0;8;pm2_5;2023-08-11 22:25:50
709045;0;1275323;4417935af5e4505d;26.78;67;980;13;11;18;0;0.01;0;0;65;2023-08-12 5:26:45;46;17;0;0;0;0;46;pm2_5;2023-08-11 22:26:45
709046;0;1275328;4417935af3d82f50;27.3;65;985;6;6;8;0.8;0.04;0;0;62;2023-08-12 5:29:43;25;7;398;0;0;0;398;so2;2023-08-11 22:29:43
709047;0;1275343;4417935af3905f62;26.21;75;943;5;5;7;0;0.02;0;0;60;2023-08-12 5:37:00;21;6;0;0;0;0;21;pm2_5;2023-08-11 22:37:00
709048;0;1275345;44179354c7c83489;24.46;81;933;3;5;5;0;0.01;0;0;72;2023-08-12 5:38:07;21;5;0;0;0;0;21;pm2_5;2023-08-11 22:38:07
709049;0;1275346;44179354c798205a;27.09;71;950;4;5;6;0;0.01;0;0;64;2023-08-12 5:38:33;21;6;0;0;0;0;21;pm2_5;2023-08-11 22:38:33
709050;0;1275340;4417935aff00388d;26.69;68;941;4;5;6;0;0.01;0;0;54;2023-08-12 5:35:37;21;6;0;0;0;0;21;pm2_5;2023-08-11 22:35:37
709051;0;1275347;44179354c7782e90;26.25;70;945;0;1;1;0;0.01;0;0;57;2023-08-12 5:38:46;4;1;0;0;0;0;4;pm2_5;2023-08-11 22:38:46
709052;0;1275342;4417935b01081c59;24.87;84;937;4;5;6;0;0.01;66;0;56;2023-08-12 5:36:53;21;6;0;0;500;0;500;co;2023-08-11 22:36:53
709053;0;1275339;4417935b00b83a53;27.52;66;944;5;5;7;12.9;0.01;0;0;66;2023-08-12 5:34:45;21;6;500;0;0;0;500;so2;2023-08-11 22:34:45
709054;0;1275341;4417935af40cae86;27.07;64;986;4;5;6;0;0.01;0;0;60;2023-08-12 5:36:02;21;6;0;0;0;0;21;pm2_5;2023-08-11 22:36:02
709055;0;1275344;4417935af5e4505d;26.91;66;981;6;7;9;0;0.01;0;0;68;2023-08-12 5:37:01;29;8;0;0;0;0;29;pm2_5;2023-08-11 22:37:01
709056;0;1275348;4417935af3d82f50;27.37;64;985;2;3;3;0;0.04;0;0;64;2023-08-12 5:39:31;13;3;0;0;0;0;13;pm2_5;2023-08-11 22:39:31
709057;0;1275364;4417935af3905f62;26.27;73;943;4;5;6;0;0.03;0;0;62;2023-08-12 5:47:26;21;6;0;0;0;0;21;pm2_5;2023-08-11 22:47:26
709058;0;1275365;44179354c7c83489;24.23;82;932;5;5;7;0;0.01;0;0;54;2023-08-12 5:48:12;21;6;0;0;0;0;21;pm2_5;2023-08-11 22:48:12
709059;0;1275367;44179354c798205a;27.03;70;949;3;4;5;0;0.01;0;0;64;2023-08-12 5:49:01;17;5;0;0;0;0;17;pm2_5;2023-08-11 22:49:01
709060;0;1275359;4417935aff00388d;26.55;69;941;10;7;13;0;0.01;0;0;54;2023-08-12 5:45:23;29;12;0;0;0;0;29;pm2_5;2023-08-11 22:45:23
709061;0;1275366;44179354c7782e90;26.25;70;945;1;2;2;0;0.01;0;0;57;2023-08-12 5:48:35;8;2;0;0;0;0;8;pm2_5;2023-08-11 22:48:35
709062;0;1275363;4417935b01081c59;24.8;84;937;5;6;7;0;0.01;66;0;56;2023-08-12 5:47:13;25;6;0;0;500;0;500;co;2023-08-11 22:47:13
709063;0;1275369;4417935b00b83a53;27.48;64;944;6;6;9;12;0.01;0;0;66;2023-08-12 5:50:07;25;8;500;0;0;0;500;so2;2023-08-11 22:50:07
709064;0;1275361;4417935af40cae86;27.07;62;986;3;3;5;0;0.01;0;0;53;2023-08-12 5:46:23;13;5;0;0;0;0;13;pm2_5;2023-08-11 22:46:23
709065;0;1275362;4417935af5e4505d;27.14;65;981;12;11;16;0;0.01;0;0;65;2023-08-12 5:46:26;46;15;0;0;0;0;46;pm2_5;2023-08-11 22:46:26
709066;0;1275368;4417935af3d82f50;27.23;65;985;4;5;6;1.3;0.04;0;0;59;2023-08-12 5:49:32;21;6;500;0;0;0;500;so2;2023-08-11 22:49:32
